title,price
South Park: The Stick of Truth (English),"Rp 172,250"
"Embr (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 172,250"
Starlink: Battle for Atlas - Digital Edition (English/Chinese/Korean/Japanese Ver.),"Rp 172,250"
"Marvel's Spider-Man: Miles Morales PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","Rp 172,250"
Hotline Miami 2: Wrong Number (English Ver.),"Rp 172,250"
How to Survive 2 (English),"Rp 172,250"
Surviving Mars (English),"Rp 172,250"
MATTERFALL™ (English/Chinese/Korean Ver.),"Rp 172,250"
"Concrete Genie Digital Deluxe Edition (English, Korean, Thai, Traditional Chinese)","Rp 172,250"
"Warhammer 40,000: Inquisitor - Martyr (English)","Rp 172,250"
Space Hulk: Deathwing - Enhanced Edition (English Ver.),"Rp 107,250"
"Lawn Mowing Simulator PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 107,250"
"I Am Dead (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 107,250"
"Fade to Silence (English, Japanese, Traditional Chinese)","Rp 107,250"
Shadow of the Beast™ (English/Chinese/Korean Ver.),"Rp 107,250"
"ZOMBI (English, Japanese)","Rp 107,250"
"FORECLOSED (English, Korean, Japanese, Traditional Chinese)","Rp 107,250"
"Brothers: A Tale of Two Sons (Simplified Chinese, English, Japanese)","Rp 107,250"
Vampyr (English Ver.),"Rp 107,250"
"Stellaris: Console Edition (English, Korean, Japanese)","Rp 107,250"
ELEX (English),"Rp 107,250"
Trials Fusion (English),"Rp 107,250"
"KINGDOM HEARTS Melody of Memory (Simplified Chinese, Korean, Traditional Chinese)","Rp 107,250"
RESOGUN™ full game (English),"Rp 107,250"
KNACK full game (English/Chinese/Korean Ver.),"Rp 107,250"
Transference™ - Digital Edition (English/Chinese/Korean/Japanese Ver.),"Rp 107,250"
"Observer: System Redux (Simplified Chinese, English, Korean, Japanese)","Rp 107,250"
The Elder Scrolls Online - PS4 (English),"Rp 107,250"
"Eagle Flight (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 107,250"
Bomber Crew (English/Japanese Ver.),"Rp 107,250"
"Space Crew: Legendary Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","Rp 107,250"
"Trials of the Blood Dragon Game (Simplified Chinese, English)","Rp 107,250"
"Age of Wonders: Planetfall (English, Korean)","Rp 107,250"
"No Straight Roads (Simplified Chinese, English, Korean, Malay, Japanese, Traditional Chinese)","Rp 107,250"
DAMASCUS GEAR : Operation Tokyo HD Edition (Japanese Ver.),"Rp 189,000"
Get Even (English Ver.),"Rp 189,000"
ADR1FT (English),"Rp 189,000"
BOUND: Shattered Kingdom (English/Chinese/Korean Ver.),"Rp 189,000"
Hue (English Ver.),"Rp 189,000"
Entwined™ full game (English Ver.),"Rp 189,000"
"11-11: Memories Retold (English, Japanese)","Rp 189,000"
TowerFall Ascension full game (English Ver.),"Rp 189,000"
The Technomancer (English Ver.),"Rp 189,000"
Space Junkies™ - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),"Rp 189,000"
Star Trek: Bridge Crew - Digital Standard (English),"Rp 189,000"
Risk Urban Assault (English),"Rp 189,000"
Werewolves Within (English),"Rp 189,000"
TorqueL full game (English Ver.),"Rp 189,000"
"Tetris® Effect: Connected (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","Rp 189,000"
